标题	正文页URL
上海市推进浦东新区实施建筑师负责制若干规定	https://www.shrd.gov.cn/shrd/fggb/content/c65e5325-2909-4177-a8ba-5a1f28ba8c2d.html
上海市促进浦东新区保税维修业务发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/966f4ab6-0b8b-40d6-b76b-0dd7ddf2ec08.html
上海市人民代表大会常务委员会关于修改《上海市殡葬管理条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/9ee645ce-1c9e-4e96-95d5-54c73a786b3e.html
上海市无障碍环境建设条例	https://www.shrd.gov.cn/shrd/fggb/content/ec9091c8-76cb-473b-8dd1-0726e5794671.html
上海市气象条例	https://www.shrd.gov.cn/shrd/fggb/content/07519bad-0936-487c-9eb3-6adfa9f32680.html
上海市绿色建筑条例	https://www.shrd.gov.cn/shrd/fggb/content/3030f24c-7ed3-419d-9f51-afbe4ea930aa.html
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/6aa0ecc5-7c57-4b6c-9501-7527eb6231a2.html
上海市人民代表大会常务委员会关于修改《上海市妇女权益保障条例》等4件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/084e803d-c268-464c-8b21-a31c1ac6884d.html
上海市中小学校外实践教育促进规定	https://www.shrd.gov.cn/shrd/fggb/content/a6a4e7a7-f283-4a66-9db0-d4b38bf48605.html
上海市推进国际金融中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/a6669ac1-63ed-4b75-9671-8f7a2d430a8e.html
上海市科学技术进步条例	https://www.shrd.gov.cn/shrd/fggb/content/5d5d239e-c2e2-4dd6-b16e-a2dde82b6e3b.html
上海市人民代表大会常务委员会关于修改《上海市非机动车安全管理条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/867a294a-cd60-4ddf-83fc-a306282889aa.html
上海市促进长三角生态绿色一体化发展示范区高质量发展条例	https://www.shrd.gov.cn/shrd/fggb/content/f1c63cfd-eea0-4825-bc80-c2f288b6cd23.html
上海市无废城市建设条例	https://www.shrd.gov.cn/shrd/fggb/content/549f11e6-2d5a-4470-97ac-7979b841e990.html
上海市推进国际贸易中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/26cf1c94-a666-44f2-80d1-b99aec1e748a.html
上海市人民代表大会常务委员会关于修改《上海市养老服务条例》等12件地方性法规和废止《上海市保护和发展邮电通信规定》等6件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/5e0258d9-1f12-40bb-aae8-82573c0a9510.html
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会关于区县和乡镇人民代表大会工作的若干规定》等5件地方性法规和废止《上海市预防职务犯罪工作若干规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/17c4f091-c30f-4462-ba46-bbff3ad37da6.html
上海市发展方式绿色转型促进条例	https://www.shrd.gov.cn/shrd/fggb/content/2e150e93-e863-48ac-9237-84f61476affa.html
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/35e592b5-8025-47f0-a671-c7cc30fa5601.html
上海市体育发展条例	https://www.shrd.gov.cn/shrd/fggb/content/7b2f44e5-cf32-414e-9d3f-3379d81a29ba.html
上海市推进国际商事仲裁中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/ab9ce875-5398-44c3-add8-6c507aa3cd08.html
上海市实施《中华人民共和国土地管理法》办法	https://www.shrd.gov.cn/shrd/fggb/content/2ff30f32-3efd-432a-b4ef-e0c850d22bdc.html
上海市人民代表大会常务委员会关于促进和保障“五个新城”建设的决定	https://www.shrd.gov.cn/shrd/fggb/content/e7177275-f098-473c-9d10-79aa06163daa.html
上海市种子条例	https://www.shrd.gov.cn/shrd/fggb/content/637cfca7-0b1d-498a-a6c8-456ea67b40a0.html
上海市爱国卫生与健康促进条例	https://www.shrd.gov.cn/shrd/fggb/content/f3c800f7-27bd-42e2-927c-de34376bae69.html
《上海市养老服务条例》实施以来相关出台文件清单	http://www.shrd.gov.cn/n8347/n8483/u1ai238360.html
上海市推进科技创新中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/3a3421e7-0cce-423a-8211-b3bb77a06de9.html
上海市排水与污水处理条例	https://www.shrd.gov.cn/shrd/fggb/content/d2add81e-0ab3-4bad-bfcb-bf891e3602c2.html
上海市家政服务条例	https://www.shrd.gov.cn/shrd/fggb/content/7665b7af-c2fa-4e06-a3b3-e3b3c659c66e.html
上海市司法鉴定管理条例	https://www.shrd.gov.cn/shrd/fggb/content/5dfc0d25-4ccb-43ac-8a45-0d08bbe9693a.html
