分类,类型,层级,标题,文号,发布单位,发布日期,状态,来源,官方链接,正文
规划与土地,办法,区级,上海市奉贤区人民政府关于印发《上海市奉贤区农村集体经营性建设用地入市试点管理办法》的通知,沪奉府发〔2026〕9号,上海市奉贤区人民政府,2026-01-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::00843742,docs/规划与土地/上海市奉贤区人民政府关于印发《上海市奉贤区农村集体经营性建设用地入市试点管理办法》的通知.md
规划与土地,实施细则,区级,关于印发《金山区海绵城市规划建设管理实施细则》的通知,金建规〔2026〕1号,上海市金山区建设和管理委员会,2026-01-07,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0081::00816794,docs/规划与土地/关于印发《金山区海绵城市规划建设管理实施细则》的通知.md
规划与土地,通知公告,市级,关于公布上海市林果全程机械化生产基地名单的通知,沪农委〔2025〕392号,上海市农业农村委员会,2025-12-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0009::77024fcfa3a7463f826bdd8370b00d33,
规划与土地,实施细则,市级,关于印发《上海市产业用地综合价值评估实施细则》的通知,沪规划资源产〔2025〕506号,上海市规划和自然资源局,2025-12-31,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::701e802dd7984b7a9cbac2f26500b9e6,docs/规划与土地/关于印发《上海市产业用地综合价值评估实施细则》的通知.md
规划与土地,规定,市级,关于印发《破产企业办理不动产登记若干规定（试行）》的通知,沪自然资源登〔2025〕11号,上海市规划和自然资源局,2025-12-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::898e4e088cb24d258c245d3d8ec82a61,docs/规划与土地/关于印发《破产企业办理不动产登记若干规定（试行）》的通知.md
规划与土地,规划与计划,市级,上海市人民政府办公厅转发市规划资源局修订的《关于规范临时用地管理的指导意见（试行）》的通知,沪府办规〔2025〕16号,上海市人民政府办公厅,2025-12-03,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0001::abb905f706c344ff90e3e5a1bae241d2,
规划与土地,办法,区级,上海市奉贤区农业农村委员会关于印发《关于进一步完善奉贤区农村集体经营性建设用地入市集体收益分配的管理办法》的通知,沪奉农委〔2025〕67号,上海市奉贤区农业农村委员会,2025-12-19,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::00843581,docs/规划与土地/上海市奉贤区农业农村委员会关于印发《关于进一步完善奉贤区农村集体经营性建设用地入市集体收益分配的管理.md
规划与土地,办法,区级,关于印发《上海市奉贤区农村集体经营性建设用地使用权抵押贷款管理办法》的通知,沪奉财〔2025〕16号,上海市奉贤区财政局,2025-12-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::00843536,docs/规划与土地/关于印发《上海市奉贤区农村集体经营性建设用地使用权抵押贷款管理办法》的通知.md
规划与土地,实施细则,区级,关于印发《上海市奉贤区农村集体经营性建设用地土地增值收益调节金征收使用管理实施细则》的通知,沪奉财〔2025〕17号,上海市奉贤区财政局,2025-12-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::00843537,docs/规划与土地/关于印发《上海市奉贤区农村集体经营性建设用地土地增值收益调节金征收使用管理实施细则》的通知.md
规划与土地,通知公告,区级,上海市崇明区人民政府办公室关于印发《关于加强协同联动规范实施崇明区集体土地征收补偿工作的意见》的通知,沪崇府办发〔2025〕26号,上海市崇明区人民政府办公室,2025-11-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0085::test_7fed99ea-ce14-490e-b0f7-a8d5bf29a90c,
