分类,类型,层级,标题,文号,发布单位,发布日期,状态,来源,官方链接,正文
工程建设管理,办法,区级,关于印发《普陀区政府投资建设项目代理建设单位工作质量评价考核办法（试行）》的通知,普发改规范〔2024〕4号,上海市普陀区发展和改革委员会,2024-12-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0075::0075193805,docs/工程建设管理/关于印发《普陀区政府投资建设项目代理建设单位工作质量评价考核办法（试行）》的通知.md
工程建设管理,办法,区级,关于印发《普陀区政府投资建设项目代理建设管理办法》的通知,普发改规范〔2024〕3号,上海市普陀区发展和改革委员会,2024-12-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0075::0075193804,docs/工程建设管理/关于印发《普陀区政府投资建设项目代理建设管理办法》的通知.md
工程建设管理,办法,区级,关于印发《普陀区政府投资建设项目储备管理和预安排办法》的通知,普发改规范〔2024〕2号,上海市普陀区发展和改革委员会,2024-12-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0075::0075193803,docs/工程建设管理/关于印发《普陀区政府投资建设项目储备管理和预安排办法》的通知.md
工程建设管理,通知公告,市级,关于废止本市水资源费相关政策文件的通知,沪发改价管〔2024〕55号,上海市发展和改革委员会,2024-12-24,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::35c479df93a84d9a955dd9ad153b7b1d,
工程建设管理,办法,区级,关于印发《普陀区基本建设项目财务监理管理办法》的通知,普财规范〔2024〕3号,上海市普陀区财政局,2024-12-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0075::0075193714,docs/工程建设管理/关于印发《普陀区基本建设项目财务监理管理办法》的通知.md
工程建设管理,通知公告,市级,关于印发 《上海市交通委员会关于水路运输行政处罚的裁量基准》的通知,沪交行规〔2024〕7号,上海市交通委员会,2024-12-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::7176dbf97b46492d9f728df19744862d,
工程建设管理,通知公告,市级,关于印发《上海市公共资源交易目录（2024年版）》的通知,沪发改法〔2024〕14号,上海市发展和改革委员会,2024-12-17,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::a050e9ff3a7347ef8662a62de97a9e58,
工程建设管理,实施意见,区级,关于印发《浦东新区关于推进环保管家服务工作的指导意见》的通知,浦环规〔2024〕7号,上海市浦东新区生态环境局（水务局、海洋局、绿化和市容管理局）,2024-12-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070335111,
工程建设管理,通知公告,市级,上海市自然灾害防治委员会关于印发《上海市气象灾害类预警信息发布应急预案》的通知,沪灾防委〔2024〕4号,上海市应急管理局,2024-12-12,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0037::4a875b9a1fe34eeb8a461f2e7cc0dcc9,
工程建设管理,实施意见,区级,金山区发改委延长《关于印发<金山区推进农村宅基地自愿有偿退出的实施意见>的通知》有效期的通知,金发改规〔2024〕2号,上海市金山区发展和改革委员会,2024-12-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0081::0081783,
工程建设管理,通知公告,市级,上海市交通委员会关于印发《上海市交通委员会关于港口行政处罚的裁量基准》的通知,沪交行规〔2024〕6号,上海市交通委员会,2024-12-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::98eb7d6ae3ba495c9a12d526418cd9a5,
工程建设管理,办法,区级,关于印发《嘉定区节能减排（应对气候变化）专项资金管理办法》的通知,嘉发改规〔2024〕1号,上海市嘉定区发展和改革委员会,2024-12-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0080::5_183059,
工程建设管理,通知公告,区级,关于印发《上海市崇明区处置建设工程事故应急预案》的通知,沪崇建管〔2024〕78号,上海市崇明区建设和管理委员会,2024-11-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0085::test_2204fd1e-ac48-4c81-b0f7-3ac6d0aab8de,
工程建设管理,办法,其他,关于印发《中国（上海）自由贸易试验区临港新片区应急抢险救灾工程建设管理办法》的通知,沪自贸临管委〔2024〕153号,中国（上海）自由贸易试验区临港新片区管理委员会,2024-12-06,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0058::b059adfbd96f40fc9a7c82d0eb4b59b3,docs/工程建设管理/关于印发《中国（上海）自由贸易试验区临港新片区应急抢险救灾工程建设管理办法》的通知.md
工程建设管理,通知公告,市级,关于同意设立北外滩高端服务业集聚发展试验区等七个服务业创新发展示范区的通知,沪发改服务〔2024〕14号,上海市发展和改革委员会,2024-11-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::9a4196e49f43488d963f2166e4002288,
工程建设管理,实施意见,市级,上海市交通委员会关于印发《上海市低空飞行服务管理能力建设实施方案》的通知,沪交空〔2024〕870号,上海市交通委员会,2024-11-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::509e2dac7cc74d16ae4e87c5632b52c2,
工程建设管理,通知公告,市级,关于印发《上海市石油天然气管道突发事件应急预案》的通知,沪发改能源〔2024〕233号,上海市发展和改革委员会,2024-11-19,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::37d80a795eb54f78984e89d17976977a,
工程建设管理,实施意见,区级,关于印发《长宁区加快构建现代化产业体系促进经济高质量发展的实施意见（试行）》的通知,长发改规〔2024〕4号,上海市长宁区发展和改革委员会,2024-11-15,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0074::007477151,
工程建设管理,其他,市级,上海市应急管理局关于2024年第3批工贸行业安全生产标准化等级企业的通告,沪应急通〔2024〕7号,上海市应急管理局,2024-11-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0037::b20b74f9a9064e78b0be75cd94cc294b,
工程建设管理,办法,区级,浦东新区生态环境局  浦东新区发展和改革委员会  浦东新区财政局关于印发《浦东新区氮氧化物超量减排配套补贴实施办法》的通知,浦环规〔2024〕6号,上海市浦东新区生态环境局（水务局、海洋局、绿化和市容管理局）,2024-11-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070334321,docs/工程建设管理/浦东新区生态环境局 浦东新区发展和改革委员会 浦东新区财政局关于印发《浦东新区氮氧化物超量减排配套补.md
工程建设管理,通知公告,市级,上海市交通委员会关于运行长江经济带港口和船舶岸电监管与服务信息系统的通知,沪交科〔2024〕823号,上海市交通委员会,2024-11-12,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::f9e1da615de440559a29f73644b9f574,
工程建设管理,规定,市级,上海市住房和城乡建设管理委员会关于印发《上海市建设工程监理报告若干规定》的通知,沪建质安〔2024〕477号,上海市住房和城乡建设管理委员会,2024-09-14,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::5739242fc3af4019b2da49ad39cfc0b4,docs/工程建设管理/上海市住房和城乡建设管理委员会关于印发《上海市建设工程监理报告若干规定》的通知.md
工程建设管理,办法,区级,关于印发《宝山区河湖泵闸长效养护管理办法》的通知,宝水务〔2024〕48号,上海市宝山区水务局,2024-10-14,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0078::e9658a6e-8236-4dae-8249-714271152fd6,docs/工程建设管理/关于印发《宝山区河湖泵闸长效养护管理办法》的通知.md
工程建设管理,通知公告,市级,关于进一步完善本市居民用户天然气上下游价格联动机制的通知,沪发改规范〔2024〕12号,上海市发展和改革委员会,2024-11-01,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::a8407199d37a492385872feeabefc978,
工程建设管理,实施意见,市级,关于印发《上海市推动国际航运燃料绿色转型工作方案》的通知,沪发改能源〔2024〕225号,上海市发展和改革委员会,2024-11-01,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::4a0d56d427384947a4906d73c6562739,
工程建设管理,办法,区级,关于印发《浦东新区重大工程建设管理办法》的通知(联合发文),浦建委规〔2024〕2号,上海市浦东新区建设和交通委员会（国防动员办公室、人民防空办公室、住房保障和房屋管理局）,2024-10-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070333743,docs/工程建设管理/关于印发《浦东新区重大工程建设管理办法》的通知(联合发文).md
工程建设管理,通知公告,市级,关于印发第一批上海市绿色电力交易发电企业自愿入市名单的通知,沪发改能源〔2024〕220号,上海市发展和改革委员会,2024-10-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::738841bb60f44c69984b4bd41eae1d49,
工程建设管理,办法,市级,上海市交通委员会关于印发《上海市交通行业安全生产警示约谈和挂牌督办实施办法》的通知,沪交行规〔2024〕5号,上海市交通委员会,2024-10-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::4d714690d03a49a08715e157b3ab4f0e,docs/工程建设管理/上海市交通委员会关于印发《上海市交通行业安全生产警示约谈和挂牌督办实施办法》的通知.md
工程建设管理,通知公告,市级,上海市交通委员会关于组织申报2024年三季度调整优化航运集疏运结构项目资金的通知,沪交航〔2024〕765号,上海市交通委员会,2024-10-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::9d48a73210b74f6a95db11627a68bf44,
工程建设管理,办法,区级,徐汇区节能减排降碳专项资金管理办法,徐发改规〔2024〕2号,上海市徐汇区发展和改革委员会,2024-10-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0073::0073112,docs/工程建设管理/徐汇区节能减排降碳专项资金管理办法.md
工程建设管理,通知公告,市级,关于印发《上海市公共资源交易中心公共服务清单（2024年版）》的通知,沪发改法〔2024〕10号,上海市发展和改革委员会,2024-10-23,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::3dd2f5d7370a45a4be442df2cd52e684,
工程建设管理,审查与许可规则,市级,上海市交通委员会关于发布《水路运输辅助业经营信息变动备案办事指南》的通知,沪交港〔2024〕750号,上海市交通委员会,2024-10-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::98e3b5cd799d4f318227a2da285a8020,docs/工程建设管理/上海市交通委员会关于发布《水路运输辅助业经营信息变动备案办事指南》的通知.md
工程建设管理,实施意见,市级,市交通委 市发展改革委关于印发《上海市老旧营运船舶报废更新补贴实施方案》的通知,沪交港〔2024〕712号,上海市交通委员会,2024-10-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::7b7cbe9ba99941a6b27393f29ba372ac,
工程建设管理,实施意见,市级,关于印发《上海市绿色电力交易实施方案》的通知,沪发改能源〔2024〕215号,上海市发展和改革委员会,2024-10-17,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::a747867686704cccabc12e3e46956f27,
工程建设管理,实施意见,街镇级,关于印发《吴淞街道限额以下建设工程管理若干意见（试行）》的通知,宝吴街办〔2024〕10号,上海市宝山区吴淞街道办事处,2024-10-08,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0078::c9de9d98-2f04-4c6c-b2e2-efe0921ef29d,
工程建设管理,办法,市级,上海市安全生产委员会关于印发《上海市生产安全事故整改和防范措施落实情况评估办法》的通知,沪安委会〔2024〕5号,上海市应急管理局,2024-10-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0037::e21bd3e6a8254e5d96edfe9c11f46ab6,docs/工程建设管理/上海市安全生产委员会关于印发《上海市生产安全事故整改和防范措施落实情况评估办法》的通知.md
工程建设管理,通知公告,市级,上海市交通委员会关于贯彻落实《汽车维修业经营业务条件》的通知,沪交运服〔2024〕703号,上海市交通委员会,2024-10-09,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::3b961a0d2c9c4cb8840c9fc724bdbc51,
工程建设管理,规定,市级,上海市海洋局关于印发《上海市海洋生态保护修复项目验收管理规定》的通知,沪海洋〔2024〕104号,上海市水务局,2024-10-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0004::4767534b35fe4171905fca0910cb7de2,docs/工程建设管理/上海市海洋局关于印发《上海市海洋生态保护修复项目验收管理规定》的通知.md
工程建设管理,办法,区级,关于印发《黄浦区重点用能和排放单位节能降碳管理办法》的通知,黄发改规〔2024〕3号,上海市黄浦区发展和改革委员会,2024-09-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0071::34275aa7-3af8-4c2a-891c-ae61022f89ff,docs/工程建设管理/关于印发《黄浦区重点用能和排放单位节能降碳管理办法》的通知.md
工程建设管理,通知公告,市级,关于建立电力接入容量超基本配置标准收费机制有关事项的通知,沪发改价管〔2024〕44号,上海市发展和改革委员会,2024-09-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::03c91863419a4e94aca16962493d0a68,
工程建设管理,实施细则,区级,关于印发《上海市浦东新区生态环境损害 赔偿工作实施细则》的通知,浦环规〔2024〕5号,上海市浦东新区生态环境局（水务局、海洋局、绿化和市容管理局）,2024-09-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070332935,docs/工程建设管理/关于印发《上海市浦东新区生态环境损害 赔偿工作实施细则》的通知.md
工程建设管理,办法,市级,上海市发展和改革委员会关于印发《上海市管道天然气配气定价成本监审办法》的通知,沪发改规范〔2024〕11号,上海市发展和改革委员会,2024-09-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::3d43b06af6c94e168b3d50f916b00b11,docs/工程建设管理/上海市发展和改革委员会关于印发《上海市管道天然气配气定价成本监审办法》的通知.md
工程建设管理,实施细则,市级,市发展改革委 市财政局关于印发《上海市加力支持汽车以旧换新补贴政策实施细则（新能源）》的通知,沪发改规范〔2024〕10号,上海市发展和改革委员会,2024-12-31,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::5f3c00b2ca4548fdb5fc15c450d153fe,docs/工程建设管理/市发展改革委 市财政局关于印发《上海市加力支持汽车以旧换新补贴政策实施细则（新能源）》的通知.md
工程建设管理,实施意见,市级,上海市交通委员会关于印发《上海市重大交通工程要素保障指导意见（试行）》的通知,沪交建〔2024〕691号,上海市交通委员会,2024-09-26,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::e1e17711e1e646d698cdd3fc6409c86c,
工程建设管理,通知公告,市级,关于重新发布《上海市建设工程工程量清单数据文件标准——水利工程清单数据标准》的通知,沪建建管联〔2024〕441号,上海市住房和城乡建设管理委员会,2024-09-07,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::7d07fc401b574c3392a844996883daf6,
工程建设管理,通知公告,市级,关于规范我市电动自行车充电收费行为的通知,沪发改价管〔2024〕42号,上海市发展和改革委员会,2024-09-14,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::f04b48eb2002423bbf0305b6eb516712,
工程建设管理,审查与许可规则,市级,关于印发《上海市建设工程规划许可豁免项目清单（试行）》的通知,沪规划资源建〔2024〕380号,上海市规划和自然资源局,2024-09-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::0010253c5fb640369af6d89b0664d125,docs/工程建设管理/关于印发《上海市建设工程规划许可豁免项目清单（试行）》的通知.md
工程建设管理,实施细则,区级,关于印发《浦东新区固定污染源生态环境监督管理实施细则》的通知,浦环规〔2024〕4号,上海市浦东新区生态环境局（水务局、海洋局、绿化和市容管理局）,2024-09-14,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070332924,docs/工程建设管理/关于印发《浦东新区固定污染源生态环境监督管理实施细则》的通知.md
工程建设管理,通知公告,市级,上海市住房和城乡建设管理委员会关于完善本市工程建设项目信息的通知,沪建建管〔2024〕335号,上海市住房和城乡建设管理委员会,2024-07-04,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::95df2332a88b4b7db637fdca7e983129,
工程建设管理,通知公告,市级,关于印发《推进长三角区域市场一体化建设近期重点工作举措（2024-2025年）》的通知,沪发改改革〔2024〕13号,上海市发展和改革委员会,2024-09-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::7051eba4b30f40fdb802c754080954e1,
工程建设管理,通知公告,市级,关于进一步规范本市园林绿化工程建设管理的通知,沪绿容规〔2024〕5号,上海市绿化和市容管理局,2024-08-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0039::073c20fe-42ca-40b4-9ebc-bc0e2fbf8ec0,
工程建设管理,通知公告,市级,关于贯彻促进消费品以旧换新决策部署进一步支持本市新能源汽车以旧换新有关工作的通知,沪发改产〔2024〕27号,上海市发展和改革委员会,2024-09-09,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::fe3a6fc0eda941ad87ffef98efb88030,
工程建设管理,其他,市级,关于本市国四柴油载货汽车限制通行政策的通告,沪交行规〔2024〕4号,上海市交通委员会,2024-09-06,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::decd3d307f90429fad12d6c7b5532ecf,
工程建设管理,通知公告,市级,上海市交通委员会关于组织申报2024年二季度调整优化航运集疏运结构项目资金的通知,沪交航〔2024〕629号,上海市交通委员会,2024-09-04,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::525b9cd5c05249f693931b7ac4527621,
工程建设管理,办法,市级,关于印发《上海市节水减排专项扶持办法》的通知,沪水务〔2024〕369号,上海市水务局,2024-08-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0004::a15ca45e28644c399e72d862d945ccf2,docs/工程建设管理/关于印发《上海市节水减排专项扶持办法》的通知.md
工程建设管理,办法,市级,上海市绿化和市容管理局关于印发《上海市在沪园林绿化施工企业信用评价管理办法》的通知,沪绿容规〔2024〕4号,上海市绿化和市容管理局,2024-08-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0039::db0b10b911134a2189bf4526a8616b9f,docs/工程建设管理/上海市绿化和市容管理局关于印发《上海市在沪园林绿化施工企业信用评价管理办法》的通知.md
工程建设管理,办法,市级,上海市应急管理局 上海市财政局关于印发上海市应急管理局安全生产举报奖励办法的通知,沪应急行规〔2024〕3号,上海市应急管理局,2024-08-26,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0037::5d19c24b4590479aa393deb1611af49f,docs/工程建设管理/上海市应急管理局 上海市财政局关于印发上海市应急管理局安全生产举报奖励办法的通知.md
工程建设管理,办法,区级,关于印发《长宁区支持“菜篮子”工程建设的实施办法》的通知,长商务规〔2024〕1号,上海市长宁区商务委员会,2024-08-26,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0074::007474077,docs/工程建设管理/关于印发《长宁区支持“菜篮子”工程建设的实施办法》的通知.md
工程建设管理,通知公告,市级,关于印发《上海市城市管理综合行政执法行政处罚裁量基准（四）》的通知,沪城管规〔2024〕4号,上海市城市管理行政执法局,2024-08-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0043::6160205819fd491a82e48bb468b669da,
工程建设管理,通知公告,市级,上海市交通委员会关于废止和宣布失效部分文件的通知,沪交法〔2024〕604号,上海市交通委员会,2024-08-23,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::e3daf91d6d544456b1a07486e8812e2a,
工程建设管理,办法,区级,上海市奉贤区人民政府金海街道办事处关于印发《金海街道关于规范小型建设工程项目管理实施办法》的通知,奉金街〔2024〕5号,奉贤区人民政府金海街道,2024-08-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::0084i20240909-ilw2dj4oez1i1qrteu,docs/工程建设管理/上海市奉贤区人民政府金海街道办事处关于印发《金海街道关于规范小型建设工程项目管理实施办法》的通知.md
工程建设管理,通知公告,区级,上海市浦东新区生态环境局关于印发《上海市浦东新区气候投融资项目入库评价实施 意见（试行）》的通知,浦环规〔2024〕3号,上海市浦东新区生态环境局（水务局、海洋局、绿化和市容管理局）,2024-08-23,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070332029,
工程建设管理,通知公告,市级,关于印发首批上海自贸试验区联动创新区建设方案的通知,沪自贸组〔2024〕2号,上海市发展和改革委员会,2024-08-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::6e3bd073c9c14bf98960754261bd0b26,
工程建设管理,规划与计划,区级,关于印发《杨浦区关于创新引领、数字赋能，持续提升工程建设领域营商环境的行动计划》的通知,杨建委〔2024〕38号,上海市杨浦区建设和管理委员会,2024-08-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0077::00776ad4103ab701361eb623cf3835171cb2,
工程建设管理,通知公告,市级,关于公布《2023年度上海市新能源出租车充电示范站名单》的通知,沪交科〔2024〕511号,上海市交通委员会、上海市发展和改革委员会、上海市财政局,2024-08-09,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::62b55b3ff5764eeab516def5c863f9b0,
工程建设管理,通知公告,市级,关于印发《小铰缝空心板梁铰缝维修加固指南（试行）》的通知,沪交科〔2024〕536号,上海市交通委员会,2024-07-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::72206f6f519b4b0d826be563daf07708,
工程建设管理,实施意见,市级,关于印发《上海市交通领域大规模设施设备更新专项工作方案（2024-2027年）》的通知,沪交科〔2024〕501号,上海市交通委员会、上海市发展和改革委员会、上海市生态环境局、中国民用航空华东地区管理局、上海市邮政管理局,2024-07-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::bed10307ddbc461096c86ec51774721e,
工程建设管理,实施意见,市级,关于延长《建立健全上海市城镇非居民用水超定额累进加价制度的实施方案》有效期的通知,沪发改规范〔2024〕9号,上海市发展和改革委员会,2024-07-31,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::5f8bb1c37fff449f91b57670afef3b53,
工程建设管理,办法,区级,上海市奉贤区人民政府西渡街道办事处关于印发《西渡街道建设工程项目管理办法》的通知,奉西街办〔2024〕5号,奉贤区人民政府西渡街道,2024-07-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::0084i20240811-npqpheccic2h0m6ifk,docs/工程建设管理/上海市奉贤区人民政府西渡街道办事处关于印发《西渡街道建设工程项目管理办法》的通知.md
工程建设管理,办法,区级,闵行区人民政府关于印发《闵行区政府投资项目财务监理管理办法》的通知,闵府规发〔2024〕8号,上海市闵行区人民政府,2024-07-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0079::f119e70b-c63a-425e-9472-28582a0cea00,docs/工程建设管理/闵行区人民政府关于印发《闵行区政府投资项目财务监理管理办法》的通知.md
工程建设管理,实施意见,市级,上海市应急管理局印发关于本市应对极端天气停课安排和误工处理的实施意见的通知,沪应急行规〔2024〕2号,上海市应急管理局,2024-07-24,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0037::f38a599500f54a1a84214a85487da5ec,
工程建设管理,办法,区级,关于印发《黄浦区政府投资基金管理办法》的通知,黄发改规〔2024〕2号,上海市黄浦区发展和改革委员会,2024-07-23,废止,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0071::3346e815-1b71-4ff7-91f2-ee4fa56ff4d4,docs/工程建设管理/关于印发《黄浦区政府投资基金管理办法》的通知.md
工程建设管理,实施细则,区级,关于印发《静安区政府投资项目代理建设管理实施细则》的通知,静发改投〔2024〕36号,上海市静安区发展和改革委员会,2024-07-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0072::d01f32d0-3602-4679-a2c3-a461a56ccac6,docs/工程建设管理/关于印发《静安区政府投资项目代理建设管理实施细则》的通知.md
工程建设管理,通知公告,市级,上海市住房和城乡建设管理委员会关于在工程建设招投标领域通过预留份额方式促进中小企业发展的通知,沪建建管〔2024〕375号,上海市住房和城乡建设管理委员会,2024-07-22,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::db39e4386543473a9b50460cfbfe8c9e,
工程建设管理,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《既有建筑幕墙检查及安全性鉴定技术标准》为上海市工程建设规范的通知,沪建标定〔2024〕377号,上海市住房和城乡建设管理委员会,2024-07-22,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::e5d7f1165cc04242bbab204cb29b3de1,docs/工程建设管理/上海市住房和城乡建设管理委员会关于批准《既有建筑幕墙检查及安全性鉴定技术标准》为上海市工程建设规范的.md
工程建设管理,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《航道养护技术标准》为上海市工程建设规范的通知,沪建标定〔2024〕370号,上海市住房和城乡建设管理委员会,2024-07-18,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::05d5a3022fdc4604bbd362acc0a14d02,docs/工程建设管理/上海市住房和城乡建设管理委员会关于批准《航道养护技术标准》为上海市工程建设规范的通知.md
工程建设管理,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《港口船舶压载水接收设施技术标准》为上海市工程建设规范的通知,沪建标定〔2024〕364号,上海市住房和城乡建设管理委员会,2024-07-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::28e507fa2d8842b5b5230dd6cb356c1e,docs/工程建设管理/上海市住房和城乡建设管理委员会关于批准《港口船舶压载水接收设施技术标准》为上海市工程建设规范的通知.md
工程建设管理,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《地下工程预制装配技术标准（轨道交通工程）》为上海市工程建设规范的通知,沪建标定〔2024〕365号,上海市住房和城乡建设管理委员会,2024-07-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::2cffffe5cb4a427188557574050833bf,docs/工程建设管理/上海市住房和城乡建设管理委员会关于批准《地下工程预制装配技术标准（轨道交通工程）》为上海市工程建设规.md
工程建设管理,实施意见,市级,关于印发《关于进一步加强本市园林绿化工程和造林项目招标投标及花卉、苗木采购管理的若干意见》的通知,沪绿容〔2024〕263号,上海市绿化和市容管理局,2024-07-03,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0039::3ce7bfe7-8ceb-4669-a5d3-bae7bd94dbb3,
工程建设管理,通知公告,市级,上海市交通委员会关于开展本市驾培行业智能教学 设备应用试点工作的通知,沪交道运 〔2024〕459号,上海市交通委员会,2024-07-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::8fc8a09de57849eca18f546a59ad66d6,
工程建设管理,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《城镇高压、超高压天然气管道工程技术标准》为上海市工程建设规范的通知,沪建标定〔2024〕350号,上海市住房和城乡建设管理委员会,2024-07-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::5aedba78cd55419e966e114e559816b8,docs/工程建设管理/上海市住房和城乡建设管理委员会关于批准《城镇高压、超高压天然气管道工程技术标准》为上海市工程建设规范.md
工程建设管理,通知公告,市级,关于开展2024年度上海港岸电项目补贴资金申报工作的通知,沪交科〔2024〕436号,上海市交通委员会,2024-06-26,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0010::6dd8b24543f346628e74e4b4c3cf5fce,
工程建设管理,通知公告,市级,关于印发《深化推动新城高质量发展的若干政策举措》的通知,沪新城〔2024〕1号,上海市发展和改革委员会,2024-07-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0025::73569ce4980a40dd8766e9db4b7951fc,
